# CREATED_DATE: 2018-03-19T18:54:52.943Z
# MODIFIED_DATE: 2021-10-01T22:11:18.694Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5861; (15:09:16.09, -11:19:18.01)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017erp
# RA: 227.311708333333
# DEC: -11.3342222222222
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-06-13T15:01:28Z
# REDSHIFT: 0.006174
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-03-08T15:00:00Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0925
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.012
# SLUG: 2017erp
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [11, 13, 19]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57928.980	ip	224289.961  1084.203	14.123  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57931.952	B	360206.086  2790.457	13.609  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57931.957	V	372767.552  3335.381	13.572  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57932.959	B	356946.751  2414.010	13.619  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57932.961	V	388263.412  2046.352	13.527  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57932.964	gp	374331.618  1758.249	13.567  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57932.970	rp	365835.357  1629.062	13.591  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57932.972	ip	233721.141  993.379	14.078  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57934.015	B	369765.203  2178.618	13.580  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57934.017	V	410275.343  1951.939	13.468  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57934.020	gp	389424.284  1711.506	13.524  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57934.024	rp	385464.674  1578.139	13.535  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57934.029	ip	231469.155  899.454	14.088  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57935.023	Unknown	381072.270  1954.660	13.547  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57935.023	B	381072.270  1954.660	13.547  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57935.027	Unknown	405887.191  1931.751	13.479  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57935.027	V	405887.191  1931.751	13.479  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57935.028	gp	405464.561  1760.470	13.480  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57935.034	rp	384143.577  1626.980	13.539  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57935.036	ip	222108.647  1015.089	14.133  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57935.808	Unknown	381938.393  3414.992	13.545  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57935.808	B	381938.393  3414.992	13.545  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57935.812	Unknown	411076.425  3888.206	13.465  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57935.812	V	411076.425  3888.206	13.465  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57935.817	gp	402409.532  2507.925	13.488  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57935.819	rp	389350.671  2874.604	13.524  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57935.822	ip	226925.518  2063.682	14.110  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57936.144	B	361405.950  2267.963	13.605  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57936.147	V	409513.161  2173.549	13.470  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57936.149	gp	384206.450  2000.792	13.539  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57936.154	rp	394728.263  1860.894	13.509  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57936.158	ip	219599.663  1086.392	14.146  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57940.901	B	309592.395  2640.458	13.773  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57940.907	V	382267.895  2830.595	13.545  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57940.910	gp	351389.060  2443.746	13.636  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57940.912	rp	360582.918  2381.787	13.608  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57940.917	ip	193075.092  1416.187	14.286  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57941.855	B	291587.843  2373.923	13.839  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57941.859	V	375247.813  2603.890	13.564  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57941.863	gp	338015.563  2210.314	13.678  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57941.865	rp	348540.352  2037.109	13.644  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57941.869	ip	183728.581  1313.291	14.339  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57942.719	B	273356.266  1977.049	13.908  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57942.723	V	361264.653  2106.743	13.605  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57942.726	gp	324379.204  1882.576	13.722  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57942.729	rp	330132.054  1752.508	13.703  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57942.732	ip	172376.835  1006.214	14.409  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57943.154	B	258305.296  1906.066	13.970  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57943.157	V	348721.913  2253.680	13.644  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57943.161	gp	309984.068  1851.628	13.771  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57943.163	rp	312315.981  1717.952	13.764  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57943.168	ip	166755.151  1015.047	14.444  0.007	None	Siding_Spring_1m	Sinistro
